   ,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
108,Keldon Johnson,SAS,14,26.5,11.9,4.5,10.2,44.1,0.9,3.6,25.5,1.9,2.5,77.1,1.2,4.4,5.6,1.5,1,0.3,0.8,13.1
109,Jabari Smith Jr.,HOU,13,28.7,11.8,4.2,10,41.5,1.5,4.9,29.7,2.1,2.4,87.1,2.4,4.6,7,0.8,0.5,0.5,0.8,13.6
110,Luguentz Dort,OKC,13,28,11.8,4,8.5,47.3,2.4,5.3,44.9,1.4,1.6,85.7,0.9,2.9,3.8,1.5,1.3,0.8,0.7,13.8
111,Scotty Pippen Jr.,MEM,13,25.7,11.6,4.2,8.8,48.2,1.2,2.8,41.7,2,2.5,81.3,0.5,3.5,3.9,6,1.1,0.5,2.3,15.8
111,Zaccharie Risacher,ATL,13,26.8,11.6,4.2,11.5,36.9,1.2,5,23.1,2,3.2,63.4,1.5,2.3,3.8,1.3,1,0.8,1.2,9.1
113,Jaylen Wells,MEM,13,26.1,11.5,4.2,9.5,43.5,1.7,4.6,36.7,1.5,2.1,74.1,0.9,2.4,3.3,1.7,0.3,0.2,1.1,10.1
114,Ayo Dosunmu,CHI,13,28.2,11.5,4.2,9.5,44.4,1.2,4.3,26.8,1.8,2.1,88.9,0.7,3.8,4.5,4.2,0.3,0.5,1.3,14.2
114,Zach Edey,MEM,13,20.5,11.5,4.7,7.5,62.2,0.5,0.7,66.7,1.6,2.4,67.7,3.1,3.8,6.9,0.7,0.8,0.9,1.7,15.5
116,Onyeka Okongwu,ATL,11,23.7,11.5,4.5,7.9,56.3,0.4,1.9,19,2.2,2.5,85.7,2.4,4.1,6.5,1.7,0.7,0.7,0.9,16.4
117,Kevin Huerter,SAC,12,27.8,11.3,4.4,9.6,46.1,2.1,6.2,33.8,0.4,0.8,55.6,0.4,3.5,3.9,2.5,1.3,0.5,1,13
118,Corey Kispert,WAS,11,30.3,11.3,4.1,10.2,40.2,2,6.3,31.9,1.1,1.4,80,0.2,2.8,3,1.6,0.6,0.1,1,9.3
119,Chris Boucher,TOR,14,18.6,11.1,4.1,8.2,50.4,1.3,3.8,34,1.6,2.1,73.3,1.3,3.3,4.6,0.7,0.4,0.7,0.7,12.2
120,Clint Capela,ATL,13,22.2,11.1,4.8,7.4,64.6,0,0,0,1.5,2.3,66.7,3,4.8,7.8,1.1,0.5,0.6,1,16.6
121,Amen Thompson,HOU,13,25.3,11,4,7.5,53.1,0.3,1.2,26.7,2.7,3.8,71.4,1.8,4.5,6.4,2.1,1.1,0.7,1.5,15.1
122,Caleb Martin,PHI,12,34.1,10.9,3.7,8.5,43.1,0.9,2.8,32.4,2.7,3.9,68.1,1.8,3.9,5.7,2.7,1.2,0.3,2.3,12.3
123,Julian Champagnie,SAS,14,28.2,10.9,3.9,8.9,43.5,2.4,6.4,37.1,0.8,0.9,84.6,0.9,4.4,5.3,1.6,0.6,0.5,1.1,12.6
124,Rudy Gobert,MIN,13,32.5,10.8,4.2,6.5,64.3,0,0,0,2.5,3.2,80.5,3.1,7.4,10.5,1.9,0.5,1.4,1.7,20.5
125,Jose Alvarado,NOP,11,25.6,10.7,3.6,9.2,39.6,2.2,5.5,40,1.3,1.5,82.4,0.5,1.6,2.2,4.5,1.5,0.3,1.3,12.1
125,Miles McBride,NYK,11,26.4,10.7,4,9.1,44,2,5.3,37.9,0.7,0.9,80,0.4,1.9,2.3,2.5,1.1,0.3,1.1,10.5
127,Russell Westbrook,DEN,11,24.4,10.5,3.3,9.5,34.6,1,3.3,30.6,3,4.3,70.2,1,3.1,4.1,5.5,1.4,0.5,2.4,12.3
128,Brook Lopez,MIL,13,31.8,10.5,3.8,9.4,40.2,1.6,5.4,30,1.4,1.8,75,1.2,3.7,4.9,1.5,1.2,2.3,1.4,13.1
129,Derrick Jones Jr.,LAC,13,26.5,10.5,4,8.4,47.7,1.6,3.6,44.7,0.8,1.1,78.6,1.6,2.1,3.7,1.1,1.2,0.3,1.3,10.8
130,Alexandre Sarr,WAS,11,25.9,10.5,3.8,10.5,36.5,1,4.7,21.2,1.8,2.5,71.4,1.9,4,5.9,2.2,0.9,2.4,1.2,13.3
130,Dorian Finney-Smith,BKN,11,29.3,10.5,3.7,8.5,44.1,2.1,5.5,37.7,0.9,1.5,62.5,2.1,2.8,4.9,1.7,1.1,0.6,1.2,12.4
132,Chris Paul,SAS,14,28.3,10.4,3.6,7.9,46.4,1.9,5.1,38,1.2,1.2,100,0.4,3.3,3.7,8.4,1.4,0.1,2,17.8
133,Garrison Mathews,ATL,12,22.1,10.4,3,6.5,46.2,2.5,5.4,46.2,1.9,2.2,88.5,0.3,1,1.3,1.8,0.8,0.3,0.6,10.2
134,Tyus Jones,PHX,13,32.2,10.4,3.9,8.9,44,1.9,5.2,36.8,0.6,0.8,80,0.7,2.1,2.8,6.2,0.8,0.2,1.1,14.2
135,Patrick Williams,CHI,13,29.5,10.3,3.5,8.8,39.5,1.9,4.6,41.7,1.5,1.8,82.6,1.1,4.2,5.3,2.5,1.2,0.6,1.9,12.3
136,Kyshawn George,WAS,11,28.2,10.1,3.5,9.6,36.8,1.8,6.5,28.2,1.2,1.5,81.3,0.6,3.7,4.4,2.9,0.9,0.9,0.9,11.9
137,Jaden McDaniels,MIN,13,30,10.1,4.1,8.8,46.1,1.1,3.7,29.2,0.8,1.2,68.8,1.2,2.3,3.5,1.7,1.2,1,1.3,11.1
138,Aaron Wiggins,OKC,13,21.6,10,3.9,8.2,47.7,1.5,3.3,46.5,0.6,0.7,88.9,1.3,2.5,3.8,2.2,0.8,0.3,0.7,12.1
139,Stephon Castle,SAS,14,24.6,9.9,3.5,8.8,39.8,1,3.4,29.8,1.9,2.7,68.4,0.8,1.8,2.6,3.1,0.9,0.4,1.3,9.4
140,Ty Jerome,CLE,14,16.4,9.8,3.6,6.1,59.3,1.1,2.1,53.3,1.4,1.6,82.6,0.6,1.5,2.1,3.4,1.3,0,1,12.8
141,Royce O'Neale,PHX,13,25.2,9.8,3.4,8.2,41.5,2.1,4.8,42.9,0.9,1.2,80,1.6,4.7,6.3,2.5,0.8,0.9,0.8,14.4
141,Ziaire Williams,BKN,13,21.7,9.8,3.7,8.1,45.7,1.1,3.4,31.8,1.3,1.6,81,1.2,3.7,4.8,1,1,0.4,1,11.3
143,Jaime Jaquez Jr.,MIA,8,24,9.8,3.8,8.4,44.8,0.9,2,43.8,1.4,2.4,57.9,1.9,4.5,6.4,2.6,1.1,0.1,1.8,12.6
144,Carlton Carrington,WAS,11,30.6,9.6,3.5,8.1,42.7,1.3,3.6,35,1.5,1.8,80,0.3,4.3,4.5,5.5,1.3,0.4,1.8,14.5
145,Grant Williams,CHA,12,28.3,9.6,3.2,7.5,42.2,1.8,5.1,36.1,1.4,1.8,77.3,0.8,3.8,4.7,2.3,1.3,0.7,1.8,11.9
145,Moses Moody,GSW,12,16.2,9.6,3.3,6.8,48.1,1.8,4,45.8,1.3,1.8,71.4,0.5,1.6,2.1,1,0.3,0.3,1,8.3
147,Deni Avdija,POR,13,24.9,9.5,2.8,8.2,34.6,0.8,3.3,23.3,3,3.7,81.3,1.2,4.4,5.5,3,1,0.8,2,11.7
148,Obi Toppin,IND,11,20.6,9.5,3.6,6.5,55.6,1,2.9,34.4,1.2,1.4,86.7,0.9,2.2,3.1,1.5,0.5,0.4,0.8,10.9
149,Al Horford,BOS,12,27,9.4,3.4,6.8,50,2.3,5,45,0.3,0.3,100,1,4.4,5.4,2.3,1,0.7,1.1,14.3
150,Cody Martin,CHA,12,24.3,9.4,3.4,7,48.8,1.5,3.6,41.9,1.1,1.5,72.2,0.8,3.3,4.2,2,0.8,0.3,1,11.8
151,Jay Huff,MEM,13,14.7,9.4,3.3,6,55.1,1.6,3.8,42.9,1.2,1.3,88.2,0.6,2.1,2.7,0.8,0.3,1.8,0.5,11.6
151,Taurean Prince,MIL,13,30.2,9.4,3.5,6.9,51.1,2.2,4,55.8,0.1,0.1,100,0.9,4.5,5.5,2.2,0.8,0.1,1.1,13.5
153,Amir Coffey,LAC,13,23.7,9.3,3.2,6.5,50,1.5,3.1,50,1.3,1.6,81,0.5,1.8,2.3,1.1,0.6,0,0.5,9.2
153,Dalton Knecht,LAL,13,20.2,9.3,3.5,7.2,48.4,1.8,4.4,40.4,0.6,0.6,100,0.5,1.8,2.3,1.2,0.5,0,0.5,9.2
155,Dalano Banton,POR,11,12.9,9.3,3.2,6.6,47.9,0.9,2.2,41.7,2,2.9,68.8,0.3,1.4,1.6,2.3,1.1,0.5,1.1,9.4
155,Peyton Watson,DEN,11,23.8,9.3,3.2,7.5,42.2,0.9,2.5,35.7,2,2.6,75.9,1,2.3,3.3,0.9,0.9,0.9,0.5,9.7
155,T.J. McConnell,IND,11,17,9.3,4.5,7.9,56.3,0.1,0.4,25,0.3,0.5,60,0.4,2,2.4,3.9,0.9,0.2,1.8,11.2
158,Isaiah Joe,OKC,13,21.9,9.2,3.2,7.8,41.2,2.3,6.3,36.6,0.5,0.6,75,0.8,2.5,3.2,1.5,0.7,0.2,0.2,9.9
159,Walker Kessler,UTA,9,26.4,9.2,3.9,5.7,68.6,0,0,0,1.4,2.6,56.5,3.8,6.9,10.7,1,0.4,2.8,1.7,19.6
160,Harrison Barnes,SAS,14,28.3,9.2,3.1,6.5,48.4,1.1,3,38.1,1.8,2.1,83.3,1.5,2.4,3.9,1.5,0.3,0.2,0.9,10.5
161,Guerschon Yabusele,PHI,12,22.3,9.2,3.4,7.1,48.2,1.5,4,37.5,0.8,1.3,62.5,1.6,3.3,4.9,1.8,0.8,0.4,1.3,11.7
162,Toumani Camara,POR,13,31.1,9.2,3.4,7.3,46.3,1.5,3.3,44.2,0.9,1.3,70.6,2.2,2.8,5.1,2,1.7,0.3,1.8,12.2
163,Draymond Green,GSW,12,27.8,9.1,2.8,6.3,44.7,1.6,3.5,45.2,1.8,2.6,71,0.8,4.8,5.5,5.3,1.1,1.1,1.8,16.1
164,Donte DiVincenzo,MIN,13,25.7,8.9,3,8.8,33.9,2.1,6.8,30.3,0.8,1.1,78.6,0.5,2.9,3.4,3.3,1.4,0.3,1.8,9.5
164,Jake LaRavia,MEM,13,25.1,8.9,3.2,6.4,49.4,1,2.5,39.4,1.6,2.6,61.8,1.7,3.5,5.2,3.7,1,0.5,1.5,13.5
166,Julian Strawther,DEN,11,21.3,8.9,3.2,7.2,44.3,1.3,3.6,35,1.3,1.6,77.8,0.5,1.6,2.1,1.4,0.9,0.4,1.2,8.1
167,Duncan Robinson,MIA,10,19,8.9,3.2,8.8,36.4,2.3,6.5,35.4,0.2,0.2,100,0.2,1.8,2,1.5,0.6,0.3,0.5,7.2
168,Nickeil Alexander-Walker,MIN,13,23.9,8.8,3.2,6.1,51.9,1.8,3.6,48.9,0.8,1.1,71.4,0.6,2,2.6,2.7,1.1,0.3,1.5,10.8
169,Jusuf Nurkić,PHX,12,24.6,8.8,2.8,7.2,38.4,0.8,2.9,25.7,2.6,3.9,66,1.9,8.2,10.1,1.1,0.9,0.6,2.8,12.9
170,Nic Claxton,BKN,11,24.8,8.6,3.7,5.7,65.1,0,0,0,1.2,2.5,46.4,2,5.7,7.7,2.5,0.5,1.2,1,16.3
171,Malaki Branham,SAS,12,14.6,8.6,3.1,6.3,49.3,1.2,2.5,46.7,1.3,1.5,83.3,0.1,1.7,1.8,1.2,0.4,0.2,1.3,7.4
172,Haywood Highsmith,MIA,9,24.6,8.6,3.3,5.3,62.5,1.1,2.7,41.7,0.8,1.2,63.6,0.7,2.3,3,0.8,1.7,0.4,0.3,11.7
173,Andre Drummond,PHI,11,23.4,8.5,3.4,6.8,49.3,0.1,0.4,25,1.7,3.3,52.8,3.3,6.3,9.5,0.5,1.3,0.5,1.9,13.4
174,Brandin Podziemski,GSW,11,25.7,8.5,3.5,8.7,39.6,0.8,4.1,20,0.7,1.1,66.7,1,3.8,4.8,3.5,0.9,0.4,1.4,11.1
